index,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
688,Eastern,West Bengal,Kolkata,Calcutta High Court,Courthouse,1872,1.0,4.6,0,Yes,None,Judicial,Yes,0.4,All
689,Eastern,West Bengal,Kolkata,Agni Mandir,Temple,1950,1.0,4.5,0,Yes,None,Religious,Yes,0.3,Morning
690,Eastern,West Bengal,Kolkata,South City Mall,Shopping Mall,2008,2.0,4.7,0,Yes,None,Shopping,Yes,0.55,Afternoon
691,Eastern,West Bengal,Kolkata,Kolkata Metro,Rapid Transit,1984,2.0,4.5,0,Yes,None,Transport,Yes,0.6,All
692,Southern,Andhra Pradesh,Hyderabad,Begum Bazaar,Market,1850,1.5,4.4,0,Yes,None,Shopping,Yes,0.45,Morning
693,Southern,Andhra Pradesh,Hyderabad,Hyderabad International Convention Center,Convention Center,2006,2.5,4.6,0,Yes,None,Commercial,Yes,0.55,Afternoon
694,Southern,Andhra Pradesh,Hyderabad,Indira Park,Park,1975,2.0,4.3,20,Yes,None,Recreational,Yes,0.35,All
695,Western,Gujarat,Ahmedabad,Gujarat University,Educational,1949,2.0,4.5,0,Yes,None,Academic,Yes,0.5,Morning
696,Western,Gujarat,Ahmedabad,Gandhi Ashram,Historical,1915,1.5,4.8,0,Yes,None,Historical,Yes,0.75,Afternoon
697,Western,Gujarat,Ahmedabad,Akshardham Temple,Temple,1992,3.0,4.7,0,Yes,Monday,Religious,Yes,0.65,All
698,Northern,Uttarakhand,Dehradun,Zonal Anthropological Museum,Museum,1971,2.0,4.4,50,Yes,Saturday,Educational,Yes,0.3,Morning
699,Northern,Uttarakhand,Dehradun,Dehradun Institute of Technology,Institute,1998,2.5,4.5,0,Yes,None,Technical,Yes,0.4,Afternoon
700,Northern,Uttarakhand,Dehradun,Mindrolling Monastery,Monastery,1965,2.0,4.6,0,Yes,None,Religious,Yes,0.55,All
701,Northern,Rajasthan,Jaipur,Amer Sound & Light Show,Show,2007,1.5,4.7,250,Yes,None,Entertainment,Yes,0.6,Morning
702,Northern,Rajasthan,Jaipur,Jal Mahal,Palace,1799,1.0,4.8,0,Yes,None,Historical,Yes,0.75,Afternoon
703,Southern,Tamil Nadu,Chennai,Vivekanandar Illam,Museum,1842,1.5,4.5,20,Yes,None,Historical,Yes,0.4,All
704,Southern,Tamil Nadu,Chennai,May Day Park,Park,1947,1.0,4.3,0,Yes,None,Recreational,Yes,0.25,Morning
705,Southern,Tamil Nadu,Chennai,Sri Parthasarathy Temple,Temple,8th Century,1.0,4.7,0,Yes,None,Religious,Yes,0.55,Afternoon
706,Eastern,West Bengal,Kolkata,National Medical College,Medical School,1948,2.5,4.5,0,Yes,Monday,Medical,Yes,0.5,All
707,Eastern,West Bengal,Kolkata,Belur Math,Religious Site,1938,2.0,4.8,0,Yes,None,Religious,Yes,0.65,Morning
708,Eastern,West Bengal,Kolkata,Phool Bagan,Flower Market,1884,1.0,4.4,0,Yes,None,Shopping,Yes,0.3,Afternoon
709,Eastern,West Bengal,Kolkata,Swabhumi,Heritage Park,2002,2.0,4.5,100,Yes,Monday,Cultural,Yes,0.55,All
710,Southern,Andhra Pradesh,Hyderabad,Shilparamam Arts and Crafts Village,Crafts Village,1992,2.0,4.6,40,Yes,Wednesday,Cultural,Yes,0.5,Morning
711,Southern,Andhra Pradesh,Hyderabad,Mecca Masjid,Mosque,1694,1.0,4.7,0,Yes,None,Religious,Yes,0.6,Afternoon
712,Southern,Andhra Pradesh,Hyderabad,Public Gardens (Bagh-e-Aam),Garden,1846,1.5,4.5,0,Yes,None,Recreational,Yes,0.35,All
713,Western,Gujarat,Ahmedabad,Victoria Garden,Park,1900,1.0,4.4,0,Yes,None,Recreational,Yes,0.25,Morning
714,Western,Gujarat,Ahmedabad,Jhulta Minara,Architectural Feature,1891,1.0,4.6,20,Yes,None,Architectural,Yes,0.4,Afternoon
715,Western,Gujarat,Ahmedabad,AMC Animal Market,Market,1986,1.5,4.3,0,Yes,None,Commercial,Yes,0.3,All
716,Northern,Uttarakhand,Dehradun,The Doon School,Educational,1935,2.0,4.6,0,Yes,Saturday,Educational,Yes,0.5,Morning
717,Northern,Uttarakhand,Dehradun,Tapkeshwar Temple,Temple,1950,1.0,4.5,0,Yes,None,Religious,Yes,0.35,Afternoon
718,Northern,Uttarakhand,Dehradun,Survey of India,Museum,1767,2.0,4.7,0,Yes,Monday,Scientific,Yes,0.45,All
719,Northern,Rajasthan,Jaipur,Rambagh Palace,Hotel,1835,2.0,4.8,5000,Yes,None,Luxury,Yes,0.9,Morning
720,Northern,Rajasthan,Jaipur,Jaipur Art Gallery,Gallery,2003,1.5,4.5,20,Yes,None,Art,Yes,0.35,Afternoon
721,Southern,Tamil Nadu,Chennai,Fort St. George,Historical Site,1644,2.0,4.6,35,Yes,None,Historical,Yes,0.55,All
722,Southern,Tamil Nadu,Chennai,Spencer Plaza,Shopping Mall,1863,2.0,4.4,0,Yes,None,Shopping,Yes,0.45,Morning
723,Southern,Tamil Nadu,Chennai,Tamil Nadu Science and Technology Centre,Science Centre,1983,2.5,4.5,60,Yes,Monday,Educational,Yes,0.4,Afternoon
724,Eastern,West Bengal,Kolkata,Writer's Building,Government Office,1777,1.0,4.6,0,Yes,None,Historical,Yes,0.55,All
725,Eastern,West Bengal,Kolkata,Acharya Prafulla Chandra Ray Chemical Museum,Science Museum,1956,1.5,4.5,50,Yes,Monday,Educational,Yes,0.35,Morning
726,Eastern,West Bengal,Kolkata,Bidhannagar,Residential Area,1958,2.0,4.3,0,Yes,None,Residential,Yes,0.25,Afternoon
727,Eastern,West Bengal,Kolkata,Calcutta Rowing Club,Club,1858,2.0,4.5,0,Yes,None,Sports,Yes,0.45,All
728,Southern,Andhra Pradesh,Hyderabad,Himayat Sagar,Lake,1927,1.5,4.6,0,Yes,None,Scenic,Yes,0.35,Morning
729,Southern,Andhra Pradesh,Hyderabad,Asman Garh Palace,Palace,1885,1.0,4.5,50,Yes,None,Historical,Yes,0.4,Afternoon
730,Southern,Andhra Pradesh,Hyderabad,St. Mary's Church,Church,1850,1.0,4.6,0,Yes,None,Religious,Yes,0.3,All
731,Western,Gujarat,Ahmedabad,Kite Museum,Museum,1985,1.5,4.4,10,Yes,Tuesday,Cultural,Yes,0.25,Morning
732,Western,Gujarat,Ahmedabad,Conflictorium,Museum,2013,2.0,4.5,50,Yes,Monday,Educational,Yes,0.35,Afternoon
733,Western,Gujarat,Ahmedabad,Heritage Houses of poles,Heritage Site,15th Century,2.0,4.6,0,Yes,None,Historical,Yes,0.55,All
734,Northern,Uttarakhand,Dehradun,Forest Research Institute,Museum,1906,3.0,4.7,100,Yes,Saturday,Educational,Yes,0.65,Morning
735,Northern,Uttarakhand,Dehradun,Welham Girls' School,Educational,1957,2.0,4.5,0,Yes,None,Educational,Yes,0.35,Afternoon
736,Northern,Uttarakhand,Dehradun,The Kalinga War Memorial,War Memorial,1952,1.0,4.6,0,Yes,None,Historical,Yes,0.3,All
737,Northern,Rajasthan,Jaipur,The Statue Circle,Monument,1968,1.0,4.4,0,Yes,None,Memorial,Yes,0.25,Morning
738,Northern,Rajasthan,Jaipur,Jaipur Development Authority,Government Office,1949,1.0,4.3,0,Yes,None,Government,Yes,0.2,Afternoon
739,Southern,Tamil Nadu,Chennai,Kotturpuram Tree Park,Park,2010,1.5,4.4,0,Yes,None,Nature,Yes,0.3,All
740,Southern,Tamil Nadu,Chennai,Theosophical Society,Garden,1875,2.0,4.6,0,Yes,None,Spiritual,Yes,0.55,Morning
741,Southern,Tamil Nadu,Chennai,Vadapalani Murugan Temple,Temple,1890,1.0,4.7,0,Yes,None,Religious,Yes,0.5,Afternoon
742,Eastern,West Bengal,Kolkata,Mother House,Religious Site,1950,1.5,4.8,0,Yes,None,Spiritual,Yes,0.65,All
743,Eastern,West Bengal,Kolkata,Birla Planetarium,Science Museum,1962,1.5,4.6,100,Yes,Wednesday,Scientific,Yes,0.35,Morning
744,Eastern,West Bengal,Kolkata,Hazra Law College,Educational,1902,2.0,4.5,0,Yes,Monday,Academic,Yes,0.25,Afternoon
745,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.5,4.8,150,Yes,Monday,Historical,Yes,0.8,All
746,Southern,Andhra Pradesh,Hyderabad,Osmania General Hospital,Medical,1910,2.0,4.4,0,Yes,None,Medical,Yes,0.3,Morning
747,Southern,Andhra Pradesh,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,Yes,None,Religious,Yes,0.55,Afternoon
748,Southern,Andhra Pradesh,Hyderabad,AP State Archaeology Museum,Museum,1930,2.0,4.5,50,Yes,Monday,Historical,Yes,0.45,All
749,Western,Gujarat,Ahmedabad,Zanzari Waterfall,Natural Feature,Unknown,2.0,4.3,0,Yes,None,Scenic,Yes,0.25,Morning
750,Western,Gujarat,Ahmedabad,Sundarvan Mini Zoo,Zoo,1978,1.5,4.4,30,Yes,Monday,Wildlife,Yes,0.35,Afternoon
751,Western,Gujarat,Ahmedabad,R3 Mall,Shopping Mall,2010,2.0,4.5,0,Yes,None,Shopping,Yes,0.55,All
752,Northern,Uttarakhand,Dehradun,Mussoorie Library,Library,1843,1.0,4.6,0,Yes,None,Historical,Yes,0.3,Morning
753,Northern,Uttarakhand,Dehradun,Regional Science Center,Science Museum,1983,2.0,4.5,40,Yes,Monday,Educational,Yes,0.45,Afternoon
754,Northern,Uttarakhand,Dehradun,Dehradun Valley,Valley,Unknown,2.5,4.4,0,Yes,None,Nature,Yes,0.55,All
755,Northern,Rajasthan,Jaipur,Jaipur Haat,Market,2012,1.0,4.5,0,Yes,None,Cultural,Yes,0.25,Morning
756,Northern,Rajasthan,Jaipur,Amber Fort and Palace,Palace,1592,2.5,4.8,200,Yes,None,Historical,Yes,0.9,Afternoon
757,Southern,Tamil Nadu,Chennai,The Chennai Silks,Shopping,1991,2.0,4.6,0,Yes,None,Shopping,Yes,0.7,All
758,Southern,Tamil Nadu,Chennai,Madras War Cemetery,War Memorial,1952,1.0,4.5,0,Yes,None,Historical,Yes,0.2,Morning
759,Southern,Tamil Nadu,Chennai,Kalakshetra Foundation,Cultural Centre,1936,2.0,4.7,0,Yes,None,Cultural,Yes,0.55,Afternoon
760,Eastern,West Bengal,Kolkata,Nakhoda Mosque,Mosque,1926,1.5,4.6,0,Yes,None,Religious,Yes,0.4,All
761,Eastern,West Bengal,Kolkata,Science City Kolkata,Science Centre,1997,2.5,4.7,100,Yes,None,Educational,Yes,0.6,Morning
762,Eastern,West Bengal,Kolkata,Calcutta Stock Exchange,Financial,1908,1.0,4.3,0,Yes,None,Economic,Yes,0.25,Afternoon
763,Eastern,West Bengal,Kolkata,Princep Ghat,Ghat,1841,1.0,4.7,0,Yes,None,Historical,Yes,0.55,All
764,Southern,Andhra Pradesh,Hyderabad,Telangana State Archaeology Museum,Museum,1930,2.0,4.5,50,Yes,Monday,Historical,Yes,0.45,Morning
765,Southern,Andhra Pradesh,Hyderabad,Public Garden,Park,1846,2.0,4.4,0,Yes,None,Recreational,Yes,0.35,Afternoon
766,Southern,Andhra Pradesh,Hyderabad,Lumbini Park,Park,1994,1.5,4.6,20,Yes,None,Recreational,Yes,0.55,All
767,Western,Gujarat,Ahmedabad,Kankaria Lake,Lake,1451,2.0,4.5,0,Yes,None,Recreational,Yes,0.65,Morning
768,Western,Gujarat,Ahmedabad,Manek Chowk,Food Court,1740,1.0,4.6,0,Yes,None,Food,Yes,0.5,Afternoon
769,Western,Gujarat,Ahmedabad,National Institute of Design,Design Institute,1961,2.0,4.7,0,Yes,None,Educational,Yes,0.55,All
770,Northern,Uttarakhand,Dehradun,Forest Survey of India,Educational,1981,2.0,4.5,0,Yes,Saturday,Scientific,Yes,0.35,Morning
771,Northern,Uttarakhand,Dehradun,Asan Conservation Reserve,Conservation Area,2005,2.5,4.6,50,Yes,None,Wildlife,Yes,0.4,Afternoon
772,Northern,Uttarakhand,Dehradun,Malsi Deer Park,Deer Park,1976,1.5,4.4,20,Yes,Monday,Wildlife,Yes,0.3,All
773,Northern,Rajasthan,Jaipur,Rajasthan Polo Club,Polo Club,1918,2.0,4.5,0,Yes,None,Sports,Yes,0.55,Morning
774,Northern,Rajasthan,Jaipur,Anokhi Museum,Museum,2005,1.5,4.6,30,Yes,Tuesday,Cultural,Yes,0.35,Afternoon
775,Southern,Tamil Nadu,Chennai,Express Avenue,Shopping Mall,2010,2.0,4.7,0,Yes,None,Shopping,Yes,0.7,All
776,Southern,Tamil Nadu,Chennai,Elliot's Beach,Beach,Unknown,1.5,4.3,0,Yes,None,Recreational,Yes,0.25,Morning
777,Southern,Tamil Nadu,Chennai,Ashtalakshmi Temple,Temple,1976,1.0,4.6,0,Yes,None,Religious,Yes,0.4,Afternoon
501,Northern,Delhi,Delhi,Pragati Maidan,Exhibition Center,1982,2.0,4.5,0,Yes,None,Cultural,Yes,0.45,All
502,Northern,Delhi,Delhi,Siri Fort,Auditorium,1303,1.5,4.3,30,Yes,None,Historical,Yes,0.35,Evening
503,Northern,Delhi,Delhi,Dilli Haat,Market,1994,2.0,4.6,20,Yes,None,Cultural,Yes,0.7,Morning
504,Northern,Delhi,Delhi,Hauz Khas Complex,Historical Site,13th Century,2.0,4.7,0,Yes,None,Historical,Yes,0.6,Afternoon
505,Northern,Delhi,Delhi,Nehru Park,Park,1969,1.5,4.4,0,Yes,None,Recreational,Yes,0.3,All
506,Northern,Delhi,Delhi,Khan Market,Shopping Area,1951,1.0,4.5,0,Yes,None,Shopping,Yes,0.5,Evening
507,Western,Maharashtra,Mumbai,Colaba Causeway,Market,1838,1.5,4.6,0,Yes,None,Shopping,Yes,0.8,Morning
508,Western,Maharashtra,Mumbai,Dr Bhau Daji Lad Museum,Museum,1855,2.0,4.5,10,Yes,Monday,Historical,Yes,0.4,All
509,Western,Maharashtra,Mumbai,Versova Beach,Beach,Unknown,2.0,4.3,0,Yes,None,Recreational,Yes,0.35,Afternoon
510,Western,Maharashtra,Mumbai,Bandra-Worli Sea Link,Bridge,2009,0.5,4.7,0,Yes,None,Architectural,Yes,0.9,Evening
511,Southern,Karnataka,Bangalore,UB City,Shopping Mall,2008,2.0,4.6,0,Yes,None,Shopping,Yes,0.7,All
512,Southern,Karnataka,Bangalore,Bannerghatta Biological Park,Zoo,1970,3.0,4.4,260,Yes,Monday,Wildlife,Yes,0.55,Morning
513,Southern,Karnataka,Bangalore,Nandi Hills,Hill Station,Unknown,2.5,4.7,0,No,None,Scenic,Yes,0.65,Afternoon
514,Southern,Karnataka,Bangalore,Krishna Rajendra Market,Market,1928,1.5,4.3,0,Yes,None,Shopping,Yes,0.4,All
515,Southern,Karnataka,Bangalore,Tipu Sultan's Summer Palace,Palace,1791,1.0,4.5,15,Yes,None,Historical,Yes,0.55,Morning
516,Eastern,West Bengal,Kolkata,Botanical Gardens,Garden,1787,2.0,4.6,50,Yes,None,Botanical,Yes,0.5,Afternoon
517,Eastern,West Bengal,Kolkata,Kolkata Film City,Film Studio,2011,3.0,4.4,300,Yes,None,Entertainment,Yes,0.6,All
518,Eastern,West Bengal,Kolkata,St. Paul's Cathedral,Church,1847,1.0,4.6,0,Yes,None,Religious,Yes,0.35,Evening
519,Eastern,West Bengal,Kolkata,Maidan,Park,Unknown,2.0,4.5,0,Yes,None,Recreational,Yes,0.45,Morning
520,Southern,Andhra Pradesh,Hyderabad,Hyderabad High Court,Courthouse,1916,1.0,4.4,0,Yes,None,Historical,Yes,0.3,Afternoon
521,Southern,Andhra Pradesh,Hyderabad,Purani Haveli,Palace,1777,2.0,4.5,50,Yes,None,Historical,Yes,0.5,All
522,Southern,Andhra Pradesh,Hyderabad,Mir Alam Tank,Lake,1806,1.5,4.3,0,Yes,None,Scenic,Yes,0.25,Evening
523,Southern,Andhra Pradesh,Hyderabad,NTR Gardens,Park,2002,1.0,4.6,20,Yes,None,Recreational,Yes,0.4,Morning
524,Western,Gujarat,Ahmedabad,Sabarmati Riverfront,Waterfront,2012,1.5,4.7,0,Yes,None,Scenic,Yes,0.55,Afternoon
525,Western,Gujarat,Ahmedabad,Science City,Science Center,1960,2.5,4.5,120,Yes,Monday,Educational,Yes,0.5,All
526,Western,Gujarat,Ahmedabad,Vastrapur Lake,Lake,Unknown,1.0,4.4,0,Yes,None,Recreational,Yes,0.3,Evening
527,Western,Gujarat,Ahmedabad,Law Garden,Market,Unknown,1.0,4.5,0,Yes,None,Shopping,Yes,0.45,Morning
528,Northern,Uttarakhand,Dehradun,Tapovan,Temple,Unknown,2.0,4.6,0,Yes,None,Religious,Yes,0.4,Afternoon
529,Northern,Uttarakhand,Dehradun,Mindrolling Monastery,Monastery,1676,2.0,4.5,30,Yes,None,Spiritual,Yes,0.35,All
530,Northern,Uttarakhand,Dehradun,Paltan Bazaar,Market,Unknown,1.5,4.4,0,Yes,None,Shopping,Yes,0.5,Evening
531,Northern,Uttarakhand,Dehradun,Laxman Siddh,Temple,Unknown,1.0,4.5,0,Yes,None,Religious,Yes,0.3,Morning
532,Northern,Rajasthan,Jaipur,Jaipur Literature Festival,Event,2006,3.0,4.8,0,Yes,None,Cultural,Yes,0.8,All
533,Northern,Rajasthan,Jaipur,Jaipur Polo Ground,Sports,1876,2.0,4.3,0,Yes,None,Sports,Yes,0.55,Afternoon
534,Northern,Rajasthan,Jaipur,Raj Mandir Cinema,Cinema,1976,1.5,4.7,100,Yes,None,Entertainment,Yes,0.7,Evening
535,Northern,Rajasthan,Jaipur,Jaipur Bird Park,Park,1982,2.0,4.5,50,Yes,None,Wildlife,Yes,0.4,Morning
536,Southern,Tamil Nadu,Chennai,Phoenix MarketCity,Shopping Mall,2013,2.5,4.6,0,Yes,None,Shopping,Yes,0.65,Afternoon
537,Southern,Tamil Nadu,Chennai,Koyambedu Market,Market,1996,1.0,4.4,0,Yes,None,Shopping,Yes,0.3,All
538,Southern,Tamil Nadu,Chennai,Pulicat Lake,Lake,Unknown,2.0,4.5,0,Yes,None,Scenic,Yes,0.25,Evening
539,Southern,Tamil Nadu,Chennai,VGP Universal Kingdom,Amusement Park,1997,3.0,4.3,750,Yes,None,Recreational,Yes,0.6,Morning
540,Eastern,West Bengal,Kolkata,Sunderbans,National Park,1984,3.0,4.6,600,Yes,None,Wildlife,Yes,0.55,Afternoon
541,Eastern,West Bengal,Kolkata,Tollygunge Club,Sports,1895,2.0,4.4,0,Yes,None,Sports,Yes,0.5,All
542,Eastern,West Bengal,Kolkata,Gariahat Market,Market,1950,1.5,4.5,0,Yes,None,Shopping,Yes,0.7,Evening
543,Southern,Andhra Pradesh,Hyderabad,KBR Park,Park,1994,2.0,4.6,50,Yes,None,Nature,Yes,0.45,Morning
544,Southern,Andhra Pradesh,Hyderabad,Snow World,Amusement Park,2004,3.0,4.2,450,Yes,None,Entertainment,Yes,0.6,Afternoon
545,Southern,Andhra Pradesh,Hyderabad,Tank Bund,Road,Unknown,1.0,4.3,0,Yes,None,Scenic,Yes,0.4,All
546,Southern,Andhra Pradesh,Hyderabad,Chilkur Balaji Temple,Temple,Unknown,2.0,4.7,0,Yes,None,Religious,Yes,0.55,Morning
547,Western,Gujarat,Ahmedabad,Gujarat Science City,Science Center,2002,2.5,4.6,120,Yes,Monday,Educational,Yes,0.5,Afternoon
548,Western,Gujarat,Ahmedabad,Thol Lake,Bird Sanctuary,1988,2.0,4.4,20,Yes,None,Nature,Yes,0.35,All
549,Western,Gujarat,Ahmedabad,Maniar's Wonderland,Amusement Park,2002,3.0,4.3,500,Yes,None,Recreational,Yes,0.6,Evening
550,Northern,Uttarakhand,Dehradun,Dehradun International Cricket Stadium,Sports,2003,2.0,4.5,0,Yes,None,Sports,Yes,0.55,Morning
551,Northern,Uttarakhand,Dehradun,Shikhar Fall,Waterfall,Unknown,2.0,4.6,0,Yes,None,Scenic,Yes,0.25,Afternoon
552,Northern,Uttarakhand,Dehradun,MDDA Park,Park,2005,1.5,4.4,0,Yes,None,Recreational,Yes,0.3,All
553,Northern,Rajasthan,Jaipur,Amrapali Museum,Museum,2014,2.0,4.6,150,Yes,Tuesday,Cultural,Yes,0.45,Morning
554,Northern,Rajasthan,Jaipur,Nahargarh Biological Park,Zoo,2016,3.0,4.5,200,Yes,Monday,Wildlife,Yes,0.55,Afternoon
555,Northern,Rajasthan,Jaipur,World Trade Park,Shopping Mall,2012,2.5,4.7,0,Yes,None,Shopping,Yes,0.7,All
556,Southern,Tamil Nadu,Chennai,Connemara Public Library,Library,1896,2.0,4.6,0,Yes,Monday,Educational,Yes,0.45,Evening
557,Southern,Tamil Nadu,Chennai,Madras Crocodile Bank,Reptile Park,1976,2.5,4.5,35,Yes,None,Wildlife,Yes,0.4,Morning
558,Southern,Tamil Nadu,Chennai,Vivekananda House,Museum,1877,1.5,4.4,20,Yes,None,Historical,Yes,0.3,Afternoon
559,Southern,Tamil Nadu,Chennai,Cholamandal Artists' Village,Artist Village,1966,2.0,4.6,0,Yes,None,Cultural,Yes,0.55,All
560,Eastern,West Bengal,Kolkata,National Library,Library,1836,2.0,4.7,0,Yes,Monday,Educational,Yes,0.6,Morning
561,Eastern,West Bengal,Kolkata,Zoological Garden,Zoo,1876,3.0,4.5,50,Yes,Monday,Wildlife,Yes,0.7,Afternoon
562,Eastern,West Bengal,Kolkata,Marble Palace Mansion,Palace,1835,1.5,4.6,0,Yes,None,Historical,Yes,0.5,All
563,Southern,Andhra Pradesh,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.7,200,Yes,None,Historical,Yes,0.65,Morning
564,Southern,Andhra Pradesh,Hyderabad,Charminar,Monument,1591,1.0,4.8,5,Yes,None,Historical,Yes,1.0,Afternoon
565,Southern,Andhra Pradesh,Hyderabad,Laad Bazaar,Market,18th Century,1.5,4.5,0,Yes,None,Shopping,Yes,0.55,Evening
566,Western,Gujarat,Ahmedabad,Kite Museum,Museum,1985,1.0,4.4,10,Yes,None,Cultural,Yes,0.35,All
567,Western,Gujarat,Ahmedabad,Auto World Vintage Car Museum,Car Museum,1928,2.0,4.6,150,Yes,Monday,Cultural,Yes,0.45,Morning
568,Western,Gujarat,Ahmedabad,Ellis Bridge,Bridge,1892,1.0,4.5,0,Yes,None,Architectural,Yes,0.3,Afternoon
569,Northern,Uttarakhand,Dehradun,Forest Research Institute,Research Institute,1906,2.5,4.7,0,Yes,Saturday,Educational,Yes,0.6,All
570,Northern,Uttarakhand,Dehradun,Max Estates,Commercial,2014,2.0,4.5,0,Yes,None,Architectural,Yes,0.4,Morning
571,Northern,Uttarakhand,Dehradun,George Everest's House,Historical,1832,1.0,4.4,20,Yes,None,Historical,Yes,0.25,Afternoon
572,Northern,Rajasthan,Jaipur,Anokhi Museum of Hand Printing,Textile Museum,2005,2.0,4.5,30,Yes,Tuesday,Cultural,Yes,0.5,All
573,Northern,Rajasthan,Jaipur,Abhaneri Step Well,Stepwell,8th Century,1.5,4.6,0,Yes,None,Historical,Yes,0.6,Morning
574,Northern,Rajasthan,Jaipur,Sawai Man Singh Museum,Museum,1959,2.0,4.7,50,Yes,Monday,Historical,Yes,0.55,Afternoon
575,Southern,Tamil Nadu,Chennai,DakshinaChitra,Museum,1996,2.5,4.5,100,Yes,None,Cultural,Yes,0.4,All
576,Southern,Tamil Nadu,Chennai,Kapaleeswarar Temple,Temple,7th Century,1.0,4.7,0,Yes,None,Religious,Yes,0.7,Morning
577,Southern,Tamil Nadu,Chennai,MGR Film City,Film Studio,1994,3.0,4.4,150,Yes,None,Entertainment,Yes,0.5,Afternoon
578,Southern,Tamil Nadu,Chennai,Guindy Snake Park,Zoo,1972,1.5,4.3,20,Yes,None,Wildlife,Yes,0.3,All
579,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.5,4.8,150,Yes,Monday,Historical,Yes,0.75,Morning
580,Eastern,West Bengal,Kolkata,Jorasanko Thakur Bari,Museum,1785,1.0,4.7,20,Yes,None,Cultural,Yes,0.6,Afternoon
581,Eastern,West Bengal,Kolkata,Acharya Jagadish Chandra Bose Indian Botanic Garden,Garden,1787,2.0,4.5,0,Yes,None,Botanical,Yes,0.45,All
582,Southern,Andhra Pradesh,Hyderabad,Paigah Tombs,Tomb,1787,1.5,4.6,25,Yes,None,Historical,Yes,0.4,Morning
583,Southern,Andhra Pradesh,Hyderabad,Chowmahalla Palace,Palace,1750,2.0,4.7,50,Yes,None,Historical,Yes,0.65,Afternoon
584,Southern,Andhra Pradesh,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.5,0,Yes,None,Scenic,Yes,0.55,Evening
585,Western,Gujarat,Ahmedabad,Jama Masjid,Mosque,1424,1.0,4.6,0,Yes,None,Religious,Yes,0.5,All
586,Western,Gujarat,Ahmedabad,Bhadra Fort,Fort,1411,2.0,4.5,30,Yes,None,Historical,Yes,0.45,Morning
587,Western,Gujarat,Ahmedabad,Sidi Bashir Mosque,Mosque,1452,1.0,4.4,0,Yes,None,Historical,Yes,0.3,Afternoon
588,Northern,Uttarakhand,Dehradun,Mussoorie,Resort Town,1823,2.5,4.6,0,Yes,None,Tourist Spot,Yes,0.7,All
589,Northern,Uttarakhand,Dehradun,Asan Barrage,Bird Sanctuary,1967,2.0,4.5,20,Yes,None,Wildlife,Yes,0.4,Morning
590,Northern,Uttarakhand,Dehradun,Lachiwala,Nature Spot,Unknown,1.5,4.3,0,Yes,None,Nature,Yes,0.25,Afternoon
591,Northern,Rajasthan,Jaipur,Albert Hall Museum,Museum,1887,2.0,4.8,200,Yes,Monday,Historical,Yes,0.75,All
592,Northern,Rajasthan,Jaipur,Birla Planetarium,Science Center,1965,1.5,4.5,100,Yes,Wednesday,Educational,Yes,0.5,Morning
593,Northern,Rajasthan,Jaipur,Central Park,Park,2006,1.0,4.4,0,Yes,None,Recreational,Yes,0.3,Afternoon
594,Southern,Tamil Nadu,Chennai,Santhome Cathedral,Basilica,16th Century,1.0,4.6,0,Yes,None,Religious,Yes,0.6,All
595,Southern,Tamil Nadu,Chennai,Queens Land,Amusement Park,2003,3.0,4.3,700,Yes,None,Recreational,Yes,0.55,Morning
596,Southern,Tamil Nadu,Chennai,Chennai Museum,Museum,1851,2.0,4.7,50,Yes,Monday,Historical,Yes,0.45,Afternoon
597,Eastern,West Bengal,Kolkata,Rabindra Sarobar,Lake,1920,1.5,4.6,0,Yes,None,Nature,Yes,0.35,All
598,Eastern,West Bengal,Kolkata,Salt Lake Stadium,Sports,1984,2.0,4.5,0,Yes,None,Sports,Yes,0.55,Morning
599,Eastern,West Bengal,Kolkata,Eco Park,Park,2012,3.0,4.7,50,Yes,None,Recreational,Yes,0.65,Afternoon
600,Eastern,West Bengal,Kolkata,Prinsep Ghat,Heritage Site,1841,1.0,4.6,0,Yes,None,Historical,Yes,0.4,Evening
601,Southern,Andhra Pradesh,Hyderabad,Kasu Brahmananda Reddy National Park,Park,1994,2.0,4.5,0,Yes,Monday,Nature,Yes,0.55,All
602,Southern,Andhra Pradesh,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.6,200,Yes,Tuesday,Wildlife,Yes,0.7,Morning
603,Southern,Andhra Pradesh,Hyderabad,Hyderabad Public Gardens,Park,1846,1.5,4.4,0,Yes,None,Recreational,Yes,0.3,Afternoon
604,Western,Gujarat,Ahmedabad,Kankaria Zoo,Zoo,1951,2.0,4.3,50,Yes,Monday,Wildlife,Yes,0.45,All
605,Western,Gujarat,Ahmedabad,Adalaj Step Well,Stepwell,1499,1.0,4.6,0,Yes,None,Historical,Yes,0.5,Morning
606,Western,Gujarat,Ahmedabad,Ahmedabad Heritage Walk,Cultural Tour,1997,2.5,4.7,0,Yes,None,Cultural,Yes,0.6,Afternoon
